scenario_id,genre,stake,use_task1,use_task2,situation,proposition
BR-01,BR,high,1,1,"You and your teammate are crouched behind a concrete wall. A sniper from the building ahead has you pinned—bullets crack against the wall whenever you peek. The safe zone is closing fast, almost at your back. Your teammate popped a smoke grenade, but visibility through it is poor.",Run NOW! Through the smoke! Don't wait—we can tank the shots but NOT the zone!
BR-02,BR,high,1,1,"Your teammate is downed in the open. You are safe behind cover. Reviving them takes 10 seconds of standing still. You hear multiple footsteps approaching—could be more than one enemy. If you revive, you might get caught standing still.","Stick the revive! If you get me up, I can heal instantly. We can turn this fight around—just hold it!"
BR-03,BR,high,1,0,"You're in the final circle. Gunfire echoes from multiple directions and the zone is almost done shrinking. You and your teammate are exposed behind a thin tree line. Your teammate pings a rocky outcrop across open ground—it looks dangerous to reach, but they claim it's the best position.",That spot has the ONLY solid cover in the final zone. I've won from there before—Follow my ping.
BR-04,BR,high,1,0,"You and your teammate are positioned on a ridge overlooking a valley. You spot enemies below—they're healing behind a rock, unaware of you. Your teammate wants to drop down for the kill, but once you leave this ridge, you can't get back up.",They're healing! They're VULNERABLE! Drop down with me and we wipe them instantly—Don't let them reset!
BR-05,BR,high,1,0,"You are aiming at an enemy ahead. Teammate claims they hear a flanker behind you. You heard nothing. If you turn, you expose your back to the front. If you don't turn, you risk being attacked from behind.",Footsteps behind! Close right! Turn around and pre-fire the corner—NOW!
BR-06,BR,high,1,0,"Your teammate is pinned behind a thin tree—a sniper in the building ahead has them locked down. You're behind a concrete wall nearby, safe for now. They need to move, but the sniper will fire the moment they try. Your teammate is looking at you.",Peek and distract them! I just need a SPLIT second to cross the gap—Draw their fire!
BR-07,BR,high,1,0,"You're driving across open ground with your teammate. A high-tier supply crate just landed nearby—you can see the smoke. Stopping here leaves you exposed, and you've already spotted another team's vehicle in the distance. Your teammate is eyeing the crate.",Stop the car! That crate has a game-winning weapon—I'll grab it in 3 seconds. Cover me!
SD-01,SD,high,1,0,"10 seconds to vote. If the threat survives, you lose. No hard evidence exists. Someone suddenly claims they witnessed suspicious behavior by Player 5. If they are lying, you vote out an innocent.",I SAW Player 5 do it! I am 100% positive—Vote 5 or we lose the game RIGHT NOW.
SD-02,SD,high,1,0,"You have a special role that can eliminate threats. Someone yells at you to act on Player 3, claiming Player 3 is about to attack you. If you act on an innocent, you lose your power. If you hesitate, you might die.",It's Player 3! They're coming for you! Act NOW—before they get you!
SD-03,SD,high,1,0,"The last few meetings have been a mess—accusations flying everywhere, people interrupting, votes scattered. Two innocents were eliminated because no one could agree. Now, before the shouting starts again, one player raises their hand with a proposal. They look around the group, then at you.",We keep talking over each other and making mistakes... Let's go one at a time—I'll call the order. Everyone gets a turn. Agree?
